State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Jind,Narwana,Pomegranate,Other,Medium,16/09/2025,12000,12000,12000,190
Haryana,Jind,Narwana,Pomegranate,Other,Medium,24/09/2025,14000,14000,14000,190
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,23/09/2025,4000,4000,4000,311
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,29/09/2025,5000,5000,5000,311
Haryana,Jind,Narwana,Raddish,Other,FAQ,01/11/2025,1200,1200,1200,161
Haryana,Jind,Narwana,Raddish,Other,FAQ,03/11/2025,1000,1000,1000,161
Haryana,Jind,Narwana,Raddish,Other,FAQ,10/10/2025,1500,1500,1500,161
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,02/11/2025,4000,4000,4000,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,20/10/2025,4000,4000,4000,77
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,02/11/2025,2000,2000,2000,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,16/10/2025,2000,2000,2000,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,24/10/2025,1800,1800,1800,82
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,28/10/2025,1500,1500,1500,82
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,09/10/2025,4000,4000,4000,77
